"code_lot_materiel","primer_pcr_start","primer_pcr_end","qualite_pcr","code_ind_biomol","code_ind_tri_morpho","type_individu","code_tube","num_ind_biomol","commentaire_ind","taxname","date_identification","precision_date","critere_identification","commentaire_esp_id"
"PROASELLUS_WALTERI|AUJAC_201407","16SProaF1","16Sbr","","Pwalteri|AUJAC_201407_H5ID","PROASELLUS_WALTERI|AUJAC_201407[A1]H5","A","A1","H5ID","","PROASELLUS_WALTERI","2014-07-21","J","M",""
"PROASELLUS_WALTERI|AUJAC_201407","COILCO1490","COIProaR1","","Pwalteri|AUJAC_201407_H5ID","PROASELLUS_WALTERI|AUJAC_201407[A1]H5","A","A1","H5ID","","PROASELLUS_WALTERI","2014-07-21","J","M",""
"PROASELLUS_WALTERI|AUJAC_201407","16SProaF1","16Sbr","","Pwalteri|AUJAC_201407_A6","PROASELLUS_WALTERI|AUJAC_201407[B1]A6","B","B1","A6","","PROASELLUS_WALTERI","2014-07-21","J","M",""
"PROASELLUS_WALTERI|AUJAC_201407","COILCO1490","COIPwaltR1","","Pwalteri|AUJAC_201407_A6","PROASELLUS_WALTERI|AUJAC_201407[B1]A6","B","B1","A6","","PROASELLUS_WALTERI","2014-07-21","J","M",""
"PROASELLUS_WALTERI|AUJAC_201407","16SProaF1","16Sbr","","Pwalteri|AUJAC_201407_D6","PROASELLUS_WALTERI|AUJAC_201407[B2]D6","B","B2","D6","","PROASELLUS_WALTERI","2014-07-21","J","M",""
"PROASELLUS_WALTERI|AZERGUES_200700","COIPwaltF1","COIHCO2198","","Pwalteri|AZERGUES_200700_2ID","PROASELLUS_WALTERI|AZERGUES_200700[1]PWAz2","A","1","2ID","","PROASELLUS_WALTERI","2010-04-01","M","M",""
"PROASELLUS_WALTERI|AZERGUES_200700","16SProaF1","16Sbr","","Pwalteri|AZERGUES_200700_2ID","PROASELLUS_WALTERI|AZERGUES_200700[1]PWAz2","A","1","2ID","","PROASELLUS_WALTERI","2010-04-01","M","M",""
"PROASELLUS_WALTERI|AZERGUES_200700","COIPwaltF1","COIHCO2198","","Pwalteri|AZERGUES_200700_1","PROASELLUS_WALTERI|AZERGUES_200700[B]PWAz1","B","B","1","","PROASELLUS_WALTERI","2007-04-30","J","M",""
"PROASELLUS_WALTERI|AZERGUES_200700","16SProaF1","16Sbr","","Pwalteri|AZERGUES_200700_1","PROASELLUS_WALTERI|AZERGUES_200700[B]PWAz1","B","B","1","","PROASELLUS_WALTERI","2007-04-30","J","M",""
"PROASELLUS_WALTERI|AZERGUES_200700","28Slev2","28Sdes1","","Pwalteri|AZERGUES_200700_1","PROASELLUS_WALTERI|AZERGUES_200700[B]PWAz1","B","B","1","","PROASELLUS_WALTERI","2007-04-30","J","M",""
"PROASELLUS_WALTERI|AZERGUES_200803","16SProaF1","16Sbr","","Pwalteri|AZERGUES_200803_1ID","PROASELLUS_WALTERI|AZERGUES_200803[1]PWB1","A","1","1ID","","PROASELLUS_WALTERI","2008-03-20","J","M",""
"PROASELLUS_WALTERI|BELMONT_200707","COILCO1490","COIHCO2198","","Pwalteri|BELMONT_200707_1ID","PROASELLUS_WALTERI|BELMONT_200707[10]PWBel1","A","10","1ID","","PROASELLUS_WALTERI","2007-07-23","J","M",""
"PROASELLUS_WALTERI|BELMONT_200707","16SarDr","16Sbr","","Pwalteri|BELMONT_200707_1ID","PROASELLUS_WALTERI|BELMONT_200707[10]PWBel1","A","10","1ID","","PROASELLUS_WALTERI","2007-07-23","J","M",""
"PROASELLUS_WALTERI|BELMONT_200707","28Slev2","28Sdes1","","Pwalteri|BELMONT_200707_1ID","PROASELLUS_WALTERI|BELMONT_200707[10]PWBel1","A","10","1ID","","PROASELLUS_WALTERI","2007-07-23","J","M",""
"PROASELLUS_WALTERI|BELMONT_200707","16SProaF1","16Sbr","","Pwalteri|BELMONT_200707_1msat","PROASELLUS_WALTERI|BELMONT_200707[INCONNU]PPWLOB1","INC","INCONNU","1msat","","PROASELLUS_WALTERI","2007-07-23","J","M",""
"PROASELLUS_WALTERI|BELMONT_200707","16SarDr","16SStenaR1","","Pwalteri|BELMONT_200707_2msat","PROASELLUS_WALTERI|BELMONT_200707[INCONNU]PPWLOB2","INC","INCONNU","2msat","","PROASELLUS_WALTERI","2007-07-23","J","M",""
"PROASELLUS_WALTERI|BELMONT_200707","16SProaF1","16Sbr","","Pwalteri|BELMONT_200707_3msat","PROASELLUS_WALTERI|BELMONT_200707[INCONNU]PPWLOB3","INC","INCONNU","3msat","","PROASELLUS_WALTERI","2007-07-23","J","M",""
"PROASELLUS_WALTERI|BELMONT_200707","16SarDr","16SStenaR1","","Pwalteri|BELMONT_200707_4msat","PROASELLUS_WALTERI|BELMONT_200707[INCONNU]PPWLOB4","INC","INCONNU","4msat","","PROASELLUS_WALTERI","2007-07-23","J","M",""
"PROASELLUS_WALTERI|BELMONT_200707","16SProaF1","16Sbr","","Pwalteri|BELMONT_200707_5msat","PROASELLUS_WALTERI|BELMONT_200707[INCONNU]PPWLOB5","INC","INCONNU","5msat","","PROASELLUS_WALTERI","2007-07-23","J","M",""
"PROASELLUS_WALTERI|BELMONT_200707","16SarDr","16SStenaR1","","Pwalteri|BELMONT_200707_6msat","PROASELLUS_WALTERI|BELMONT_200707[INCONNU]PPWLOB6","INC","INCONNU","6msat","","PROASELLUS_WALTERI","2007-07-23","J","M",""
"PROASELLUS_WALTERI|BELMONT_200707","16SProaF1","16Sbr","","Pwalteri|BELMONT_200707_7msat","PROASELLUS_WALTERI|BELMONT_200707[INCONNU]PPWLOB7","INC","INCONNU","7msat","","PROASELLUS_WALTERI","2007-07-23","J","M",""
"PROASELLUS_WALTERI|BELMONT_200707","16SarDr","16SStenaR1","","Pwalteri|BELMONT_200707_8msat","PROASELLUS_WALTERI|BELMONT_200707[INCONNU]PPWLOB8","INC","INCONNU","8msat","","PROASELLUS_WALTERI","2007-07-23","J","M",""
"PROASELLUS_WALTERI|BERTHEZE_201407","16SProaF1","16Sbr","","Pwalteri|BERTHEZE_201407_G4ID","PROASELLUS_WALTERI|BERTHEZE_201407[A1]G4","A","A1","G4ID","","PROASELLUS_WALTERI","2014-07-19","J","M",""
"PROASELLUS_WALTERI|BERTHEZE_201407","COIPwaltF1","COIHCO2198","","Pwalteri|BERTHEZE_201407_G4ID","PROASELLUS_WALTERI|BERTHEZE_201407[A1]G4","A","A1","G4ID","","PROASELLUS_WALTERI","2014-07-19","J","M",""
"PROASELLUS_WALTERI|BERTHEZE_201407","16SProaF1","16Sbr","","Pwalteri|BERTHEZE_201407_D5","PROASELLUS_WALTERI|BERTHEZE_201407[B1]D5","B","B1","D5","","PROASELLUS_WALTERI","2014-07-19","J","M",""
"PROASELLUS_WALTERI|BERTHEZE_201407","COILCO1490","COIPwaltR1","","Pwalteri|BERTHEZE_201407_D5","PROASELLUS_WALTERI|BERTHEZE_201407[B1]D5","B","B1","D5","","PROASELLUS_WALTERI","2014-07-19","J","M",""
