"code_chromato","num_yas","commentaire_chromato","gene","qualite_chromato","type_individu","code_ind_biomol","code_ind_tri_morpho","code_tube","num_ind_biomol","commentaire_ind","taxname","date_identification","precision_date","critere_identification","commentaire_esp_id"
"YCM163|AM4R1","YCM163","200b SALES, 3b polym","AM4","OK","A","Pfranciscoloi|ORSO_200801_1ID","PROASELLUS_FRANCISCOLOI|ORSO_200801[maleID]PFO1a_PFO1b","maleID","1ID","PARTIE AVANT DU MALE MONTE COUPE EN 2 ","PROASELLUS_FRANCISCOLOI","2008-01-01","M","M",""
"YCM216|AM4F2","YCM216","2b polym","AM4","OK","A","Pgjorgjevicilitoralis|OSOJ1_200909_1ID","PROASELLUS_GJORGJEVICI_LITORALIS|OSOJ1_200909[1]PGjO1","1","1ID","","PROASELLUS_GJORGJEVICI_LITORALIS","2010-01-01","M","M",""
"YCM260|AM4R6","YCM260","b, petit slip","AM4","OK","A","Pgjorgjevicilitoralis|OSOJ2_200909_2ID","PROASELLUS_GJORGJEVICI_LITORALIS|OSOJ2_200909[1]PGjO2","1","2ID","OCULE DP","PROASELLUS_GJORGJEVICI_LITORALIS","2010-01-01","M","M",""
"YCM136|AM4F2","YCM136","tb, 1b polym","AM4","OK","A","Pgrafi|CUEVAVAL_200906_1ID","PROASELLUS_GRAFI|CUEVAVAL_200906[1.]PGC1","1.","1ID","","PROASELLUS_GRAFI","2009-07-21","J","M",""
"YAC781|AM4F2","YAC781","150b dbles puis b-","AM4","OK","A","Pguipuzcoensis|UBAO_200906_1ID","PROASELLUS_GUIPUZCOENSIS|UBAO_200906[1.]PGuU1","1.","1ID","","PROASELLUS_GUIPUZCOENSIS","2009-07-22","J","M",""
"YCM149|AM4F2","YCM149","160b sales, 4b polym","AM4","OK","A","Pguipuzcoensis|UBAO_200906_1ID","PROASELLUS_GUIPUZCOENSIS|UBAO_200906[1.]PGuU1","1.","1ID","","PROASELLUS_GUIPUZCOENSIS","2009-07-22","J","M",""
"YAC769|AM4F1","YAC769","tb","AM4","OK","A","Phercegovinensis|BJELUSNI_201107_3ID","PROASELLUS_HERCEGOVINENSIS|BJELUSNI_201107[1]PHeZ3","1","3ID","","PROASELLUS_HERCEGOVINENSIS","2011-07-01","M","M",""
"YCM132|AM4F2","YCM132","SALE, 9b polym","AM4","OK","A","Phermallensis|NEBLONPR_200807_1ID","PROASELLUS_HERMALLENSIS|NEBLONPR_200807[1]PHN1","1","1ID","","PROASELLUS_HERMALLENSIS","2008-07-27","J","M",""
"YCM206|AM4F2","YCM206","tb","AM4","OK","A","Pibericus|BARRIO_201010_1ID","PROASELLUS_IBERICUS|BARRIO_201010[1]PIbR1","1","1ID","","PROASELLUS_IBERICUS","2010-11-25","J","M",""
"YAE311|AM4F2","YAE311","1b polym","AM4","OK","A","PintermediusAFF|STORARDA_201504_1ID","PROASELLUS_INTERMEDIUS_AFF|STORARDA_201504[A1]PIS1","A1","1ID","","PROASELLUS_INTERMEDIUS_AFF","2015-08-01","M","M",""
"YAE314|AM4R6","YAE314","tb","AM4","OK","A","PintermediusAFF|STORARDA_201504_2ID","PROASELLUS_INTERMEDIUS_AFF|STORARDA_201504[A2]PIS2","A2","2ID","","PROASELLUS_INTERMEDIUS_AFF","2015-08-01","M","M",""
"YAD947|AM4F2","YAD947","80b dbles puis ok","AM4","OK","A","Pintermedius|BELLUNO_201504_1ID","PROASELLUS_INTERMEDIUS|BELLUNO_201504[A1]PIBe1","A1","1ID","","PROASELLUS_INTERMEDIUS","2015-07-02","J","M",""
"YAD950|AM4R6","YAD950","tb","AM4","OK","A","Pintermedius|BELLUNO_201504_1ID","PROASELLUS_INTERMEDIUS|BELLUNO_201504[A1]PIBe1","A1","1ID","","PROASELLUS_INTERMEDIUS","2015-07-02","J","M",""
"YCM119|AM4F2","YCM119","tb","AM4","OK","A","Pintermedius|IDREIJCA_200908_1ID","PROASELLUS_INTERMEDIUS|IDREIJCA_200908[1]PIT1","1","1ID","","PROASELLUS_INTERMEDIUS","2009-09-01","M","M",""
"YCM153|AM4F2","YCM153","160b sales, 3b polym","AM4","OK","A","Pistrianus|GLINSCIC_200701_1ID","PROASELLUS_ISTRIANUS|GLINSCIC_200701[1]PIsB1","1","1ID","","PROASELLUS_ISTRIANUS","2010-01-01","M","M",""
"YCM514|AM4R5","YCM514","SLIP, 1b polym","AM4","OK","A","Pistrianus|PIVKAJAM_201202_2ID","PROASELLUS_ISTRIANUS|PIVKAJAM_201202[2]PIsP2","2","2ID","","PROASELLUS_ISTRIANUS","2013-05-01","M","M",""
"YCM259|AM4R6","YCM259","b, petit slip","AM4","OK","A","Pistrianus|STEPAN2_201009_2ID","PROASELLUS_ISTRIANUS|STEPAN2_201009[1]PIsS2","1","2ID","","PROASELLUS_ISTRIANUS","2010-11-01","M","M",""
"YCM284|AM4F4","YCM284","tb","AM4","OK","A","Pjaloniacus|JALON_200910_1ID","PROASELLUS_JALONIACUS|JALON_200910[1v]PJJ1","1v","1ID","","PROASELLUS_JALONIACUS","2010-06-11","J","M",""
"YCM813|AM4R2","YCM813","3b polym","AM4","OK","A","Pkaramani|DJATO_201107_1ID","PROASELLUS_KARAMANI|DJATO_201107[1]PKD1","1","1ID","","PROASELLUS_KARAMANI","2011-07-01","M","M",""
"YAD475|AM4F4","YAD475","2b incertaines","AM4","OK","A","Pkaramani|DJATO_201107_2ID","PROASELLUS_KARAMANI|DJATO_201107[2]PKD2","2","2ID","","PROASELLUS_KARAMANI","2011-07-01","M","M",""
"YAC773|AM4F2","YAC773","5b polym","AM4","OK","A","Pkaramani|KLJUC_201107_1ID","PROASELLUS_KARAMANI|KLJUC_201107[1]PKK1","1","1ID","","PROASELLUS_KARAMANI","2011-09-01","M","M",""
"YCM268|AM4F4","YCM268","SALE, 9b polym, 418b seulement!","AM4","OK","A","PlagariAFF|PERAL_200910_1ID","PROASELLUS_LAGARI_AFF|PERAL_200910[1v]PLaP1","1v","1ID","","PROASELLUS_LAGARI_AFF","2010-06-16","J","M",""
