"code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","date_identification_lot","code_ind_tri_morpho","taxname_ind","date_identification_ind","code_ind_biomol","code_sqc_ass","taxname_sqc","date_identification_sqc_ass","gene","nb_chromato_sqc_ass"
"DORIESPD","35.286803","25.67744","ASELLUS_AQUATICUS|DORIESPD_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DORIESPD_201610[A1]AADo1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|DORIESPD_201610_1ID","Aaquaticus|DORIESPD_201610_1ID_YAF425|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"DORIESPD","35.286803","25.67744","ASELLUS_AQUATICUS|DORIESPD_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DORIESPD_201610[A1]AADo1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|DORIESPD_201610_1ID","Aaquaticus|DORIESPD_201610_1ID_YAF616|COILKR1","ASELLUS_AQUATICUS","2017-09-15","COI","1"
"DRASIWEL","35.231166","25.601689","ASELLUS_AQUATICUS|DRASIWEL_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DRASIWEL_201610[A1]AADr1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|DRASIWEL_201610_1ID","Aaquaticus|DRASIWEL_201610_1ID_YAF415|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"DRASIWEL","35.231166","25.601689","ASELLUS_AQUATICUS|DRASIWEL_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DRASIWEL_201610[A1]AADr1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|DRASIWEL_201610_1ID","Aaquaticus|DRASIWEL_201610_1ID_YAF590|COILKF1_YAF693_COIHCO2198","ASELLUS_AQUATICUS","2017-09-15","COI","2"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201111","ASELLUS_AQUATICUS","2011-11-01","ASELLUS_AQUATICUS|ETGDOUA_201111[1]AAD1","ASELLUS_AQUATICUS","2011-11-01","Aaquaticus|ETGDOUA_201111_1ID","Aaquaticus|ETGDOUA_201111_1ID_YAB588|16SarDr","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201111","ASELLUS_AQUATICUS","2011-11-01","ASELLUS_AQUATICUS|ETGDOUA_201111[1]AAD1","ASELLUS_AQUATICUS","2011-11-01","Aaquaticus|ETGDOUA_201111_1ID","Aaquaticus|ETGDOUA_201111_1ID_YAB591|28Slev2","ASELLUS_AQUATICUS","2017-09-15","28S","1"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201111","ASELLUS_AQUATICUS","2011-11-01","ASELLUS_AQUATICUS|ETGDOUA_201111[1]AAD1","ASELLUS_AQUATICUS","2011-11-01","Aaquaticus|ETGDOUA_201111_1ID","Aaquaticus|ETGDOUA_201111_1ID_YAB589|COIHCO2198","ASELLUS_AQUATICUS","2017-09-15","COI","1"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201111","ASELLUS_AQUATICUS","2011-11-01","ASELLUS_AQUATICUS|ETGDOUA_201111[B]AAD2","ASELLUS_AQUATICUS","2011-11-01","Aaquaticus|ETGDOUA_201111_2","Aaquaticus|ETGDOUA_201111_2_YAC795|AM4R2","ASELLUS_AQUATICUS","2017-09-15","AM4","1"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201610","ASELLUS_AQUATICUS","2016-10-01","ASELLUS_AQUATICUS|ETGDOUA_201610[CRYO_F2]arnAAD6","ASELLUS_AQUATICUS","2016-10-01","Aaquaticus|ETGDOUA_201610_6arn","Aaquaticus|ETGDOUA_201610_6arn_YAF245|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201610","ASELLUS_AQUATICUS","2016-10-01","ASELLUS_AQUATICUS|ETGDOUA_201610[CRYO_F3]arnAAD7","ASELLUS_AQUATICUS","2016-10-01","Aaquaticus|ETGDOUA_201610_7arn","Aaquaticus|ETGDOUA_201610_7arn_YAF246|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201610","ASELLUS_AQUATICUS","2016-10-01","ASELLUS_AQUATICUS|ETGDOUA_201610[CRYO_F4]arnAAD8","ASELLUS_AQUATICUS","2016-10-01","Aaquaticus|ETGDOUA_201610_8arn","Aaquaticus|ETGDOUA_201610_8arn_YAF247|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201610","ASELLUS_AQUATICUS","2016-10-01","ASELLUS_AQUATICUS|ETGDOUA_201610[CRYO_M5]arnAAD3","ASELLUS_AQUATICUS","2016-10-01","Aaquaticus|ETGDOUA_201610_3arn","Aaquaticus|ETGDOUA_201610_3arn_YAF242|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201610","ASELLUS_AQUATICUS","2016-10-01","ASELLUS_AQUATICUS|ETGDOUA_201610[CRYO_M7]arnAAD5","ASELLUS_AQUATICUS","2016-10-01","Aaquaticus|ETGDOUA_201610_5arn","Aaquaticus|ETGDOUA_201610_5arn_YAF244|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201610","ASELLUS_AQUATICUS","2016-10-01","ASELLUS_AQUATICUS|ETGDOUA_201610[CRYO_M8]arnAAD4","ASELLUS_AQUATICUS","2016-10-01","Aaquaticus|ETGDOUA_201610_4arn","Aaquaticus|ETGDOUA_201610_4arn_YAF243|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
