"code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","date_identification_lot","code_ind_tri_morpho","taxname_ind","date_identification_ind","code_ind_biomol","code_sqc_ass","code_sqc_alignement","statut_sqc_ass","date_creation_sqc_ass","taxname_sqc","date_identification_sqc_ass"
"CALCINAT","45.450373","10.384854","ASELLUS_AQUATICUS|CALCINAT_201608","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|CALCINAT_201608[A1]AACa1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|CALCINAT_201608_1ID","Aaquaticus|CALCINAT_201608_1ID_YAF575|COILKF1_YAF703_COILKR3b_dil_YAF717_COILKF1_dil","Aaquaticus|CALCINAT_201608_1ID_YAF575|COILKF1_YAF703_COILKR3b_dil_YAF717_COILKF1_dil","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"CEPKI1","45.54244","13.83404","ASELLUS_AQUATICUS|CEPKI1_201009","ASELLUS_AQUATICUS","2010-11-01","","","","","","","","","",""
"CEZEBAGN","44.16414","4.63362","PROASELLUS_SP|CEZEBAGN_201605","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|CEZEBAGN_201605[J1]PspZ1","PROASELLUS_SP","2016-06-01","Psp|CEZEBAGN_201605_1","Aaquaticus|CEZEBAGN_201605_1ex_YAE956|16SStenaF1_exPsp","Aaquaticus|CEZEBAGN_201605_1ex_YAE956|16SStenaF1_exPsp","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"CEZEBAGN","44.16414","4.63362","PROASELLUS_SP|CEZEBAGN_201605","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|CEZEBAGN_201605[J1]PspZ1","PROASELLUS_SP","2016-06-01","Psp|CEZEBAGN_201605_1","Aaquaticus|CEZEBAGN_201605_1ex_YAF010|COILKF1_YAF018_COILKR1_exPsp","Aaquaticus|CEZEBAGN_201605_1ex_YAF010|COILKF1_YAF018_COILKR1_exPsp","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"CEZEBAGN","44.16414","4.63362","PROASELLUS_SP|CEZEBAGN_201605","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|CEZEBAGN_201605[J2]PspZ2","PROASELLUS_SP","2016-06-01","Psp|CEZEBAGN_201605_2","Aaquaticus|CEZEBAGN_201605_2ex_YAE957|16SStenaF1_exPsp","Aaquaticus|CEZEBAGN_201605_2ex_YAE957|16SStenaF1_exPsp","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"CEZEBAGN","44.16414","4.63362","PROASELLUS_SP|CEZEBAGN_201605","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|CEZEBAGN_201605[J2]PspZ2","PROASELLUS_SP","2016-06-01","Psp|CEZEBAGN_201605_2","Aaquaticus|CEZEBAGN_201605_2ex_YAF011|COILKF1_exPsp","Aaquaticus|CEZEBAGN_201605_2ex_YAF011|COILKF1_exPsp","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"CEZEBAGN","44.16414","4.63362","PROASELLUS_SP|CEZEBAGN_201605","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|CEZEBAGN_201605[J3]PspZ3","PROASELLUS_SP","2016-06-01","Psp|CEZEBAGN_201605_3","Aaquaticus|CEZEBAGN_201605_3ex_YAE980|16SStenaR1_exPsp","Aaquaticus|CEZEBAGN_201605_3ex_YAE980|16SStenaR1_exPsp","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"CHAMBLAY","47.00278","5.703611","ASELLUS_AQUATICUS|CHAMBLAY_200707","ASELLUS_AQUATICUS","2007-07-25","ASELLUS_AQUATICUS|CHAMBLAY_200707[1]AAC1","ASELLUS_AQUATICUS","2007-07-25","Aaquaticus|CHAMBLAY_200707_1ID","","","","","",""
"CHAMBLAY","47.00278","5.703611","ASELLUS_AQUATICUS|CHAMBLAY_200707","ASELLUS_AQUATICUS","2007-07-25","ASELLUS_AQUATICUS|CHAMBLAY_200707[A]AAC2","ASELLUS_AQUATICUS","2007-07-25","Aaquaticus|CHAMBLAY_200707_2","","","","","",""
"CHAMBLAY","47.00278","5.703611","ASELLUS_AQUATICUS|CHAMBLAY_200707","ASELLUS_AQUATICUS","2007-07-25","ASELLUS_AQUATICUS|CHAMBLAY_200707[B]AAC3","ASELLUS_AQUATICUS","2007-07-25","Aaquaticus|CHAMBLAY_200707_3","","","","","",""
