"code_station","lat_deg_dec","long_deg_dec","code_sqc_ass_ext","code_sqc_ass_ext_alignement","statut_sqc_ass","date_creation_sqc_ass_ext","taxname_sqc","date_identification_sqc_ass","gene"
"TETERIV","50.84359","29.81191","Aaquaticus|TETERIV_000000_0_KR921853|NCBI","Aaquaticus|TETERIV_000000_0_KR921853|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"TISZA","47.589","20.683","Aaquaticus|TISZA_000000_0_DQ144814|NCBI","Aaquaticus|TISZA_000000_0_DQ144814|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"TISZA","47.589","20.683","Aaquaticus|TISZA_000000_0_DQ144815|NCBI","Aaquaticus|TISZA_000000_0_DQ144815|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"TOPCIDE","44.763","20.468","Aaquaticus|TOPCIDE_000000_0_DQ144746|NCBI","Aaquaticus|TOPCIDE_000000_0_DQ144746|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","28S"
"TOPCIDE","44.763","20.468","Aaquaticus|TOPCIDE_000000_0_DQ144853|NCBI","Aaquaticus|TOPCIDE_000000_0_DQ144853|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"TOPCIDE","44.763","20.468","Aaquaticus|TOPCIDE_000000_0_DQ144854|NCBI","Aaquaticus|TOPCIDE_000000_0_DQ144854|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"TREBICI1","45.673","13.825","Aaquaticus|TREBICI1_000000_0_AY531762|NCBI","Aaquaticus|TREBICI1_000000_0_AY531762|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"TREBICI1","45.673","13.825","Aaquaticus|TREBICI1_000000_0_AY531763|NCBI","Aaquaticus|TREBICI1_000000_0_AY531763|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"TREBICI1","45.673","13.825","Aaquaticus|TREBICI1_000000_0_AY531764|NCBI","Aaquaticus|TREBICI1_000000_0_AY531764|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"TREBICI1","45.673","13.825","Aaquaticus|TREBICI1_000000_0_AY531765|NCBI","Aaquaticus|TREBICI1_000000_0_AY531765|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
