"liste_gene_cible_par_individu","code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","code_ind_tri_morpho","code_ind_biomol","taxname_sqc_ass"
"AM4;16S;COI;AM4;COI;28S;28S","CONCHA","43.55978","-6.19003","PROASELLUS_MERIDIANUS|CONCHA_201010","PROASELLUS_MERIDIANUS","PROASELLUS_MERIDIANUS|CONCHA_201010[B]PMC2","Pmeridianus|CONCHA_201010_2","PROASELLUS_MERIDIANUS"
"28S;COI;16S;28S;AM4;28S","CONCHA","43.55978","-6.19003","STENASELLUS_VIREI_BUCHNERI_AFF|CONCHA_201010","STENASELLUS_VIREI_BUCHNERI_AFF","STENASELLUS_VIREI_BUCHNERI_AFF|CONCHA_201010[B]SVBA2","SvireibuchneriAFF|CONCHA_201010_2","STENASELLUS_VIREI_BUCHNERI_AFF"
"AM4;28S;28S;COI;COI;16S;16S","CONCHA","43.55978","-6.19003","SYNASELLUS_N_SP_CONCHA3|CONCHA_201010","SYNASELLUS_N_SP_CONCHA3","SYNASELLUS_N_SP_CONCHA3|CONCHA_201010[Aidem1]SyspC3","SYnspConcha3|CONCHA_201010_3","SYNASELLUS_N_SP_CONCHA3"
"AM4;OPS2;AM4;28S;16S;28S;COI;AM4;OPS1","COTILLAS","38.43313","-2.52911","PROASELLUS_ESCOLAI_AFF|COTILLAS_201010","PROASELLUS_ESCOLAI_AFF","PROASELLUS_ESCOLAI_AFF|COTILLAS_201010[1*]PEcC1","PescolaiAFF|COTILLAS_201010_1ID","PROASELLUS_ESCOLAI_AFF"
"16S;COI;AM4;28S;COI","COTILLAS","38.43313","-2.52911","PROASELLUS_ESCOLAI_AFF|COTILLAS_201010","PROASELLUS_ESCOLAI_AFF","PROASELLUS_ESCOLAI_AFF|COTILLAS_201010[B]PEcC2","Paffescolai|COTILLAS_201010_2","PROASELLUS_N_SP_COTILLAS"
"AM4;COI;COI;COI;COI;28S;16S;16S","COUMES","43.0171","1.15327","STENASELLUS_VIREI_HUSSONI|COUMES_200802","STENASELLUS_VIREI_HUSSONI","STENASELLUS_VIREI_HUSSONI|COUMES_200802[INCONNU]SVR1","Svireihussoni|COUMES_200802_1","STENASELLUS_VIREI_HUSSONI"
"COI;28S;AM4;16S","CREUS","41.34883","1.36169","STENASELLUS_VIREI_VIREI|CREUS_200906","STENASELLUS_VIREI_VIREI","STENASELLUS_VIREI_VIREI|CREUS_200906[B]SVVS2","Svireivirei|CREUS_200906_2","STENASELLUS_VIREI_VIREI"
"AM4;AM4;28S;16S;COI","CREUS","41.34883","1.36169","STENASELLUS_VIREI_VIREI|CREUS_200906","STENASELLUS_VIREI_VIREI","STENASELLUS_VIREI_VIREI|CREUS_200906[1.]SVVS1","Svireivirei|CREUS_200906_1ID","STENASELLUS_VIREI_VIREI"
"AM4;28S;COI;16S","CREUS","41.34883","1.36169","BRAGASELLUS_LAGARIOIDES|CREUS_200906","BRAGASELLUS_LAGARIOIDES","BRAGASELLUS_LAGARIOIDES|CREUS_200906[B.]BLC1","Blagarioides|CREUS_200906_1","BRAGASELLUS_LAGARIOIDES"
"16S;COI;AM4;28S","CRISSOLO","44.69806","7.141667","PROASELLUS_N_SP_MARTINO|CRISSOLO_200801","PROASELLUS_N_SP_MARTINO","PROASELLUS_N_SP_MARTINO|CRISSOLO_200801[3]PspMa1","PnspMartino|CRISSOLO_200801_1ID","PROASELLUS_N_SP_MARTINO"
